CDC5L	Digestive tract	+	hg19
CDK2	Breast	+	hg19
CDK6	Others	+	hg19
CDK7	-	+	hg19
CDK8	Digestive tract	+	hg19
CDK9	Kidney	+	hg19
CDX1	Digestive tract	+	hg19
CDX2	Digestive tract	+	hg19
CEBPA	Adipocyte	+	hg19
CEBPB	Breast,Digestive tract,Liver,Lung,Pluripotent stem cell,Uterus	+	hg19
CEBPD	Liver	+	hg19
CEBPZ	Liver	+	hg19
CHD1	Lung,Pluripotent stem cell	+	hg19
CHD2	Liver,Pluripotent stem cell,Uterus	+	hg19
CHD4	Neural	+	hg19
CHD7	Pluripotent stem cell	+	hg19
CHD8	Pluripotent stem cell	+	hg19
CLOCK	Digestive tract	+	hg19
CPSF3L	Uterus	+	hg19
CREB1	Digestive tract,Liver,Lung,Pluripotent stem cell,Uterus	+	hg19
CREB3L1	Digestive tract	+	hg19
CREBBP	Adipocyte,Breast,Digestive tract,Kidney,Neural	+	hg19
CREBL2	Digestive tract	+	hg19
CSNK2A1	Prostate	+	hg19
CTBP1	Breast,Prostate	+	hg19
CTBP2	Pluripotent stem cell,Prostate	+	hg19
CTCF	Adipocyte,Breast,Cardiovascular,Digestive tract,Epidermis,Kidney,Liver,Lung,Muscle,Neural,Others,Pancreas,Placenta,Pluripotent stem cell,Prostate,Uterus	+	hg19
CTNNB1	Digestive tract	+	hg19
CUX1	-	+	hg19
DCP1A	Uterus	+	hg19
DDIT3	Digestive tract	+	hg19
DDX5	Uterus	+	hg19
DEK	-	+	hg19
DICER1	Kidney	+	hg19
DMC1	Gonad	+	hg19
DMRT2	Digestive tract	+	hg19
DNMT1	Pluripotent stem cell	+	hg19
DNMT3A	Pluripotent stem cell	+	hg19
DNMT3B	Pluripotent stem cell	+	hg19
DOT1L	Pluripotent stem cell	+	hg19
DPPA3	Kidney	+	hg19
DR1	Digestive tract	+	hg19
DRAP1	Digestive tract	+	hg19
DUX4	Muscle	+	hg19
E2F1	Breast,Others,Prostate,Uterus	+	hg19
E2F2	Digestive tract	+	hg19
E2F3	Digestive tract	+	hg19
E2F4	Adipocyte,Breast,Others,Uterus	+	hg19
E2F6	Lung,Pluripotent stem cell,Uterus	+	hg19
E2F7	Lung	+	hg19
E2F8	Digestive tract	+	hg19
EBF1	Adipocyte	+	hg19
EED	Prostate	+	hg19
EGR1	Breast,Digestive tract,Pluripotent stem cell,Uterus	+	hg19
EGR2	Digestive tract	+	hg19
EHF	Lung	+	hg19
ELF1	Breast,Digestive tract,Liver,Lung,Neural,Others,Prostate	+	hg19
ELF2	Digestive tract	+	hg19
ELF4	Digestive tract	+	hg19
ELK1	Uterus	+	hg19
ELK3	Cardiovascular	+	hg19
ELK4	Kidney,Prostate,Uterus	+	hg19
ELL	Digestive tract	+	hg19
ELL2	Uterus	+	hg19
EOMES	Pluripotent stem cell	+	hg19
EP300	Breast,Cardiovascular,Digestive tract,Kidney,Liver,Lung,Neural,Others,Pluripotent stem cell,Prostate,Uterus	+	hg19
EPAS1	Digestive tract,Kidney	+	hg19
ERCC2	Others	+	hg19
ERCC3	Others	+	hg19
ERCC6	Others	+	hg19
ERG	Breast,Prostate	+	hg19
ESR1	Breast,Others,Prostate,Uterus	+	hg19
ESR2	Others	+	hg19
ESRRA	Liver	+	hg19
ETS1	Cardiovascular,Lung,Pancreas,Prostate	+	hg19
ETV1	Digestive tract,Prostate	+	hg19
ETV4	Prostate	+	hg19
ETV5	Digestive tract	+	hg19
EVX1	Digestive tract	+	hg19
EZH2	Breast,Cardiovascular,Digestive tract,Epidermis,Kidney,Liver,Lung,Muscle,Neural,Pluripotent stem cell,Prostate,Uterus	+	hg19
F2RL1	Kidney	+	hg19
FANCD2	Kidney	+	hg19
FERD3L	Digestive tract	+	hg19
FLI1	Others	+	hg19
FOS	Breast,Cardiovascular,Digestive tract,Uterus	+	hg19
FOSB	Digestive tract	+	hg19
FOSL1	Breast,Digestive tract,Pluripotent stem cell	+	hg19
FOSL2	Breast,Liver,Lung,Neural	+	hg19
FOXA1	Breast,Liver,Lung,Prostate,Uterus	+	hg19
FOXA2	Digestive tract,Liver,Lung,Pluripotent stem cell	+	hg19
FOXC1	Digestive tract	+	hg19
FOXF1	Digestive tract	+	hg19
FOXF2	Digestive tract	+	hg19
FOXH1	Pluripotent stem cell	+	hg19
FOXJ2	Digestive tract	+	hg19
FOXK1	Digestive tract,Uterus	+	hg19
FOXM1	Breast,Neural,Others,Uterus	+	hg19
FOXO1	Digestive tract	+	hg19
FOXO4	Digestive tract	+	hg19
FOXP1	Digestive tract,Pluripotent stem cell,Prostate	+	hg19
FOXP2	Digestive tract,Neural	+	hg19
FOXP3	-	+	hg19
FOXQ1	Digestive tract	+	hg19
GABPA	Breast,Liver,Lung,Neural,Others,Pluripotent stem cell,Prostate,Uterus	+	hg19
GATA1	-	+	hg19
GATA2	Cardiovascular,Neural	+	hg19
GATA3	Breast,Lung,Neural	+	hg19
GATA4	Digestive tract	+	hg19
GATA6	Digestive tract	+	hg19
GATAD1	Digestive tract,Uterus	+	hg19
GFI1B	-	+	hg19
GLI2	Digestive tract	+	hg19
GLYR1	Uterus	+	hg19
GMEB2	Digestive tract	+	hg19
GPS2	Kidney	+	hg19
GREB1	Breast	+	hg19
