gene_id	day1_1	day1_2	day1_3	day60_1	day60_2	day60_3
FBgn0001139	1636	1715	6474	6486	5033	654
FBgn0001142	3191	3647	11320	11126	9415	1277
FBgn0001145	17878	17291	4251	3076	5181	7151
FBgn0001147	67	35	18	17	15	27
FBgn0001148	22	27	16	2	3	9
FBgn0001149	7379	7134	16043	15379	18863	2952
FBgn0001150	58	57	9	15	19	23
FBgn0001169	465	513	2100	2066	1791	186
FBgn0001170	41	25	8	4	8	16
FBgn0001179	252	268	967	934	787	101
FBgn0001180	262	360	1226	1274	896	105
FBgn0001185	217	229	637	571	464	87
FBgn0001186	5867	6603	4076	3867	3833	2347
FBgn0001187	4223	4065	976	679	1159	1689
FBgn0001197	1518	1756	14362	15618	11415	607
FBgn0001202	778	797	1685	1586	1615	311
FBgn0001206	140	151	1621	1444	1187	56
FBgn0001215	4208	4195	8080	8448	6777	1683
FBgn0001216	5381	5220	396	496	581	2153
FBgn0001217	4450	3039	678	784	839	1780
FBgn0001218	8026	7911	17217	14738	13733	3210
FBgn0001222	1020	1079	5210	4658	4040	408
FBgn0001224	3108	2790	1051	903	1460	1243
FBgn0001225	8246	6505	43355	39699	34815	3298
FBgn0001226	2699	2149	24446	23752	19363	1080
FBgn0001227	15	18	11	7	9	6
FBgn0001228	81	39	17	12	26	32
FBgn0001229	341	361	73	26	58	136
FBgn0001230	6422	4594	568	283	398	2569
FBgn0001233	24993	30965	70815	63273	55064	9997
FBgn0001234	16124	6702	2629	2192	3160	6450
FBgn0001235	1558	1827	419	307	398	623
FBgn0001248	6413	5482	10523	8861	9420	2565
FBgn0001250	1624	1542	741	487	814	650
FBgn0001257	5297	5990	1943	1391	2284	2119
FBgn0001258	1701	1623	1005	623	1065	681
FBgn0001259	555	358	16	23	28	222
FBgn0001263	1170	1312	194	169	236	468
FBgn0001269	236	177	36	23	34	94
FBgn0001276	88	83	439	454	393	35
FBgn0001280	1096	898	1933	2214	2026	438
FBgn0001281	1475	912	203	301	283	590
FBgn0001285	173	161	1162	477	716	69
FBgn0001291	1189	1068	1953	1743	1694	476
FBgn0001296	1773	1858	719	528	808	709
FBgn0001297	4739	5621	1946	1608	2261	1896
FBgn0001308	3000	3120	5766	4862	4677	1200
FBgn0001311	4100	4236	18	15	6	1640
FBgn0001313	66	29	10	15	6	26
FBgn0001316	3221	3508	2623	2249	2349	1289
FBgn0001319	61	46	12	6	12	24
FBgn0001320	204	280	90	60	96	81
FBgn0001321	104	81	10	8	10	41
FBgn0001323	211	313	45	31	96	84
FBgn0001325	12	28	8	10	11	5
FBgn0001330	160	300	1282	1201	989	64
FBgn0001341	308	338	990	1022	812	123
FBgn0001404	1253	1691	2597	2222	2256	501
FBgn0001491	559	582	1397	1457	1365	224
FBgn0001565	1979	1997	7834	7029	7242	791
FBgn0001612	188	199	1437	1290	1036	75
FBgn0001624	3731	3984	2298	2051	1899	1492
FBgn0001941	994	1165	3766	3510	3705	398
FBgn0001942	33813	35409	52485	43339	46490	13525
FBgn0001961	2117	2242	3486	3315	3355	847
FBgn0001965	580	687	1341	1192	1049	232
FBgn0001977	927	981	1283	1331	1288	371
FBgn0001978	1385	1635	5562	5377	4359	554
FBgn0001986	480	591	1614	1346	1058	192
FBgn0001989	6356	7018	2430	2457	2642	2542
FBgn0001990	221	195	1393	1310	1078	88
FBgn0001991	2274	2833	452	423	546	910
FBgn0001992	59	55	7	7	6	24
FBgn0001994	656	873	2975	3050	2291	262
FBgn0001995	415	556	1547	1516	1383	166
FBgn0002021	669	606	1158	1082	1054	267
FBgn0002022	883	769	1939	1873	1921	353
FBgn0002023	254	202	78	76	53	102
FBgn0002031	3065	2981	7118	6974	6360	1226
FBgn0002036	2852	2258	1095	1161	1231	1141
FBgn0002044	1520	1739	3717	3641	2986	608
FBgn0002069	294	386	1216	869	783	118
FBgn0002121	1364	1579	4721	4634	3932	546
FBgn0002183	677	738	5377	4538	3714	271
FBgn0002283	540	584	1713	1718	1454	216
FBgn0002306	1568	1559	239	167	272	627
FBgn0002354	232	257	415	392	341	93
FBgn0002413	2004	2133	8459	7641	6332	801
FBgn0002431	1891	2136	3466	2920	2721	756
FBgn0002440	416	317	1	3	0	166
FBgn0002441	1083	1003	2384	2297	1943	433
FBgn0002466	99	131	1964	2053	1480	39
FBgn0002521	1145	1295	2858	2577	2094	458
FBgn0002522	71	53	16	18	27	28
FBgn0002524	660	768	2566	2270	1965	264
FBgn0002525	855	791	4910	4787	3727	342
FBgn0002526	1794	2297	657	482	701	718
FBgn0002531	54	23	0	0	4	21
FBgn0002542	244	257	3645	3025	2444	98
FBgn0002543	76	81	31	12	24	30
FBgn0002552	263	292	1859	1925	1413	105
FBgn0002562	352	434	0	2	3	141
FBgn0002563	2077	2491	330	305	448	831
FBgn0002564	3488	2305	10	3	9	1395
FBgn0002565	368	412	32	11	44	147
FBgn0002566	1072	1009	2064	1924	1787	429
FBgn0002571	250	328	1051	562	631	100
FBgn0002573	48	48	22	17	38	19
FBgn0002576	46	89	32	24	15	18
FBgn0002578	106	125	270	101	242	42
FBgn0002579	19099	21092	36080	34380	40483	7640
FBgn0002592	39	27	5	4	2	15
FBgn0002593	33105	36270	47769	40180	52802	13242
FBgn0002622	28383	31314	64272	56266	63536	11353
FBgn0002626	22850	25138	48723	46341	55731	9140
FBgn0002638	1386	1545	11941	12353	9563	554
FBgn0002641	441	405	1402	1294	1161	176
FBgn0002643	1700	1683	998	978	794	680
FBgn0002673	614	407	3475	3203	2424	246
FBgn0002707	78	97	887	626	539	31
FBgn0002715	546	368	1006	992	769	218
FBgn0002723	328	381	537	498	476	131
FBgn0002733	189	246	76	99	126	75
FBgn0002736	511	601	3094	2860	2519	204
FBgn0002772	101442	115275	2656	2223	3362	40577
FBgn0002773	397077	439201	9007	7438	11145	158831
FBgn0002775	318	314	2021	2104	1702	127
FBgn0002778	259	343	1696	1662	1351	104
FBgn0002780	2057	3333	14922	13315	11875	823
FBgn0002781	1310	1595	12114	11801	8997	524
FBgn0002783	652	788	6404	5438	4287	261
FBgn0002789	46215	41252	4496	3661	6560	18486
FBgn0002791	346	324	1452	1409	1219	138
FBgn0002838	55	44	10	18	18	22
FBgn0002842	104	77	34	49	25	42
FBgn0002855	2083	639	447	261	836	833
FBgn0002856	509	224	551	487	1371	203
