gene_id	6mo_1	6mo_2	6mo_3	28mo_1	28mo_2	28mo_3
ENSRNOG00000041077	0	0	0	0	0	0
ENSRNOG00000001874	43	28	25	35	52	29
ENSRNOG00000011675	317	266	314	356	235	322
ENSRNOG00000026921	3	6	4	7	1	3
ENSRNOG00000036722	0	0	0	1	1	0
ENSRNOG00000041078	0	0	0	0	0	0
ENSRNOG00000001875	31	41	26	20	19	13
ENSRNOG00000036723	1	2	2	0	1	1
ENSRNOG00000041079	3	1	5	7	1	6
ENSRNOG00000001876	0	0	0	1	1	1
ENSRNOG00000011677	1480	838	1462	1216	1058	895
ENSRNOG00000021478	96	96	89	100	83	115
ENSRNOG00000031279	0	0	0	0	1	0
ENSRNOG00000036724	0	1	0	0	0	2
ENSRNOG00000001877	64	63	78	52	46	46
ENSRNOG00000011678	83	74	91	96	73	60
ENSRNOG00000036725	0	0	0	0	0	0
ENSRNOG00000001878	191	162	214	227	183	153
ENSRNOG00000011679	9	10	13	7	17	14
ENSRNOG00000026925	0	0	0	0	0	1
ENSRNOG00000036726	0	1	1	0	0	0
ENSRNOG00000036727	3	0	2	0	1	0
ENSRNOG00000036728	0	0	0	0	0	0
ENSRNOG00000026928	61	53	60	44	52	57
ENSRNOG00000036729	13	10	12	26	9	13
ENSRNOG00000031280	0	0	0	0	0	0
ENSRNOG00000041081	0	0	0	0	0	0
ENSRNOG00000021480	9	6	1	13	4	4
ENSRNOG00000011680	34	312	45	221	28	197
ENSRNOG00000031282	0	0	0	0	0	0
ENSRNOG00000041083	0	0	0	0	0	0
ENSRNOG00000001880	66	54	77	73	49	50
ENSRNOG00000031283	0	0	0	0	0	0
ENSRNOG00000041084	0	0	0	0	0	0
ENSRNOG00000031284	0	0	0	0	0	0
ENSRNOG00000041085	3	0	0	0	0	0
ENSRNOG00000011683	4	1	0	2	0	3
ENSRNOG00000021484	29	41	54	33	27	24
ENSRNOG00000031285	27	23	38	36	29	50
ENSRNOG00000036730	0	0	0	0	0	0
ENSRNOG00000041086	0	0	1	0	0	2
ENSRNOG00000011684	186	144	151	141	121	106
ENSRNOG00000021485	0	0	0	0	0	0
ENSRNOG00000026930	284	249	252	287	273	247
ENSRNOG00000031286	2	4	9	2	4	7
ENSRNOG00000001884	105	82	133	100	71	76
ENSRNOG00000011685	0	0	0	0	0	0
ENSRNOG00000026931	461	452	525	525	350	369
ENSRNOG00000031287	654	322	561	395	410	394
ENSRNOG00000036732	0	0	0	0	0	0
ENSRNOG00000041088	55	42	63	65	28	35
ENSRNOG00000001885	42	21	28	46	29	24
ENSRNOG00000021487	151	68	140	97	89	81
ENSRNOG00000036733	0	0	0	0	0	0
ENSRNOG00000041089	0	0	0	0	0	0
ENSRNOG00000001886	252	285	241	244	193	228
ENSRNOG00000031289	0	0	0	0	0	0
ENSRNOG00000036734	0	0	0	0	0	0
ENSRNOG00000011688	0	3	1	0	0	1
ENSRNOG00000021489	3	4	2	8	3	7
ENSRNOG00000036735	34	23	38	17	25	18
ENSRNOG00000001888	17	10	15	19	12	12
ENSRNOG00000026935	0	0	0	0	0	0
ENSRNOG00000001889	89	52	104	89	55	59
ENSRNOG00000026936	0	0	0	0	0	0
ENSRNOG00000036737	0	0	0	0	0	0
ENSRNOG00000026937	115	119	139	123	64	83
ENSRNOG00000036738	0	0	0	0	0	0
ENSRNOG00000036739	0	0	1	1	3	0
ENSRNOG00000041090	0	0	0	0	0	0
ENSRNOG00000031290	15	7	18	7	13	4
ENSRNOG00000041091	0	0	0	0	0	0
ENSRNOG00000021490	0	0	0	0	0	0
ENSRNOG00000031291	17	11	27	20	29	20
ENSRNOG00000041092	60	39	47	55	14	42
ENSRNOG00000011690	147	151	152	184	133	111
ENSRNOG00000031292	0	0	0	0	0	0
ENSRNOG00000041093	28	30	42	30	21	18
ENSRNOG00000001890	18	12	19	10	14	13
ENSRNOG00000021492	720	541	590	606	446	467
ENSRNOG00000031293	0	0	0	0	0	0
ENSRNOG00000041094	0	0	0	0	0	0
ENSRNOG00000001891	21	2	10	6	10	2
ENSRNOG00000011692	1	1	3	2	2	1
ENSRNOG00000021493	0	1	1	0	6	1
ENSRNOG00000031294	0	0	0	0	0	0
ENSRNOG00000041095	0	0	0	0	0	0
ENSRNOG00000001892	0	0	0	0	0	0
ENSRNOG00000011693	0	0	0	0	0	0
ENSRNOG00000041096	0	0	0	0	0	0
ENSRNOG00000001893	495	445	514	477	372	436
ENSRNOG00000026940	0	0	0	0	0	0
ENSRNOG00000031296	85	56	58	100	89	65
ENSRNOG00000036741	0	0	0	0	0	0
ENSRNOG00000041097	1485	554	1314	1113	434	497
ENSRNOG00000021496	0	0	0	0	0	0
ENSRNOG00000026941	17	19	13	17	22	13
ENSRNOG00000031297	2	0	0	0	1	1
ENSRNOG00000036742	1367	1183	1617	1592	1059	1158
ENSRNOG00000041098	0	0	0	0	0	0
ENSRNOG00000011696	191	203	287	199	152	139
ENSRNOG00000021497	406	301	422	408	341	278
ENSRNOG00000026942	56	71	57	56	35	53
ENSRNOG00000031298	0	0	0	1	0	0
ENSRNOG00000036743	1	0	0	0	1	0
ENSRNOG00000041099	0	0	0	0	0	0
ENSRNOG00000001896	22	23	35	19	32	16
ENSRNOG00000011697	53	63	42	46	39	38
ENSRNOG00000031299	1	1	1	1	0	0
ENSRNOG00000021499	0	0	0	0	0	0
ENSRNOG00000026944	0	2	0	1	1	1
ENSRNOG00000036745	81	52	88	59	80	54
ENSRNOG00000026945	52	29	56	35	39	30
ENSRNOG00000036747	3	2	3	1	2	2
ENSRNOG00000036748	0	1	0	0	0	1
ENSRNOG00000036749	0	0	0	0	0	0
ENSRNOG00000036750	0	0	0	0	0	0
ENSRNOG00000026951	14	4	7	7	8	7
ENSRNOG00000036752	72	43	54	50	50	47
ENSRNOG00000026952	22	63	15	29	20	28
ENSRNOG00000036753	0	0	0	0	0	0
