gene_name	wt_1	wt_2	wt_3	del_1	del_2	del_3
RPS24A	22284	20676	18839	27763	35818	22758
AIM9	5626	6104	5934	5307	5650	6587
UTP7	1558	2295	1741	2915	3195	4344
GET2	1270	1272	1461	1607	1738	2293
ILV1	3041	3595	3090	2623	2891	3963
SBH1	1104	1714	1570	1339	1495	2265
DOT6	953	784	787	722	785	1665
TSC11	1236	1384	1367	1550	1587	2459
AIM11	175	219	228	107	98	188
PUP3	5100	7662	5771	5819	5648	8687
RAD51	1059	1552	1349	1337	1522	2139
UBC6	1109	1730	1323	870	1067	1046
RPS8B	9529	14763	11384	13093	15656	9648
SSA4	1150	1603	1249	774	898	1187
GLE2	901	1329	999	1069	1117	1615
KAP123	8768	11795	8592	13145	14605	18108
SWI4	1968	2160	2089	1850	1799	2541
LSM4	1155	1522	1626	1721	1627	2257
BOI2	2135	2657	2152	2353	2707	4007
RPL23B	7393	12745	10452	16361	19061	14435
SHO1	1403	1916	1506	1626	1863	2290
YCK3	1151	1513	1290	1244	1346	1948
RSP5	7777	11646	8687	8326	8792	13815
SAK1	2365	3014	2614	2930	3022	4686
RPS26B	12985	21502	15648	21491	23335	28845
GLC7	7817	12550	9122	10670	9859	15086
YER134C	999	1275	1354	1223	1365	1774
GDI1	7621	9742	8064	7485	8364	10881
MAG1	666	864	812	550	528	799
DDI1	1595	1557	1452	1383	1638	1789
SPT15	2306	3750	2738	4166	4287	5299
PEA2	499	733	717	701	762	1022
UBP3	3677	4375	3414	3403	3686	4151
OXA1	577	743	663	569	613	1185
BEM2	7036	9658	7533	8910	8676	10509
COG3	1454	1822	1514	1722	1731	2008
BUR6	2438	3064	3166	2961	2920	4022
SPT2	1123	1667	1455	1981	2030	3411
BCK2	1726	2196	1789	1829	1948	2927
CCA1	1419	1789	1560	2128	2411	3198
RPH1	1117	1274	1223	1156	1170	1744
ADK2	412	489	483	329	328	462
RAD3	1714	2611	1918	3227	3134	4271
BRR2	3652	5286	3889	6926	7053	7858
RAD24	551	709	738	725	655	938
TMT1	2498	2960	3350	660	952	1093
ECM32	3041	4163	3355	4559	4753	5731
BMH1	29315	35659	29876	33854	38172	53337
DMC1	23	55	28	41	43	54
YRF1-2	5	9	3	7	14	20
DEG1	910	1115	961	1692	1858	2711
VTC2	6250	9681	8126	5994	6606	7438
SEC4	4308	7173	5362	5269	5673	7062
BLM10	8596	11479	8513	10446	10828	13711
SMC1	3657	4649	4060	4717	4438	5419
AUA1	41	36	39	28	33	140
YFL012W-A	3	4	9	8	6	24
HSP12	10104	8743	13367	3986	3673	6814
GNA1	578	1000	867	770	811	1138
SMX2	393	284	434	526	611	1160
LPD1	7151	10101	8285	5574	6263	9425
GAT1	304	307	265	147	166	250
FRS2	3677	3311	2782	4217	5164	7135
BUD27	1492	2697	1988	2890	3212	3573
BST1	891	1358	1175	1265	1314	1472
CAK1	593	928	746	657	681	1026
AGX1	76	100	112	70	66	129
YFL031C-A	9	3	6	8	6	50
HAC1	8098	9664	9218	12088	12708	23007
RIM15	1592	1902	1501	1518	1456	2129
RPL22B	1100	1473	1206	1073	1080	1152
MOB2	477	446	432	470	592	1106
TUB2	5154	4824	4584	4019	4667	6744
YPT1	4684	6634	5644	4832	4957	8534
ACT1	35737	36297	32816	35983	37283	54404
YFL042C	893	1307	1145	652	302	1052
OTU1	547	775	720	550	601	896
SEC53	4603	6647	5165	5530	6212	8988
YFL052W	23	41	36	82	83	72
RPN11	3051	3864	3407	3430	3938	4998
YFH7	456	508	531	281	286	381
AIM13	439	754	656	551	568	723
FAB1	1764	2327	2179	1427	1561	2572
ATG18	383	465	413	414	452	840
ROG3	470	637	528	629	639	1150
LSB3	4102	5490	4927	2867	2888	5038
ECO1	251	544	357	381	384	533
CDC14	1367	2232	1850	1924	1941	3725
PTR3	348	363	319	198	215	392
RPL2A	11193	16835	12616	19568	20946	33468
RPL29	3777	2273	2771	4940	5781	13322
QCR6	2061	3090	3134	4420	3854	6175
PHO4	1064	1160	1061	1195	1263	1790
CDC26	317	361	414	277	346	502
RSC8	4359	6859	5423	6679	7367	10384
BNA6	1818	2068	2114	1173	1274	1923
RPN12	3795	4162	4223	3906	4065	3732
CDH1	769	1101	949	874	900	1162
COG7	1183	1769	1848	1500	1440	1541
PMA1	120680	169034	116538	170001	174433	232892
SCL1	2682	3973	3353	3130	3325	4801
PDR1	1626	1710	1599	1791	1779	2569
PUF4	1587	1872	1515	1786	1914	2519
KAP122	2731	3553	2818	3744	4317	4863
ATE1	712	1189	848	1153	1267	1239
CKB1	2431	3937	3113	4074	4046	6280
GET1	1366	1946	1526	2058	2397	2224
YGL024W	2	6	4	3	7	12
PGD1	491	556	561	600	571	1309
CWH41	4827	7434	5827	4816	5763	6963
RPL30	5475	4790	5245	7311	9515	12175
RPL24A	17088	25827	16791	23912	27390	30257
AGA2	8	13	8	2	6	7
MIG1	452	562	541	546	566	927
OCH1	1577	2259	1920	1695	1905	2208
HEM2	2031	2570	2187	1613	1868	2569
DST1	1951	2629	2473	2792	2882	4266
RIM8	444	476	445	554	611	772
RPT6	5096	7112	5803	7406	8288	8719
TIF4632	5345	6497	5460	4970	5152	7240
OLE1	6623	8413	7497	5519	6369	7703
RAD6	1464	2031	1708	1901	2182	3117
YBP2	974	1143	903	1472	1563	1857
SGF73	1252	1398	1334	1167	1245	1835
YGL069C	10	6	10	4	16	51
RPB9	998	1161	999	1853	2203	2060
AFT1	1667	1579	1768	1124	1253	1947
HSF1	1507	1641	1558	1824	1877	3205
MPS2	295	533	368	413	412	537
RPL7A	12940	11478	10749	17253	21722	23339
HNM1	2723	5379	3270	4649	5009	6193
KXD1	358	429	470	382	442	515
NUP145	3734	5745	4396	5562	6053	7373
VPS45	2041	2867	2483	2175	2368	2431
SRM1	1992	2708	2047	2765	3151	5110
USE1	506	927	677	1817	1736	2822
LSG1	2462	3236	2333	4182	4969	5917
RPL28	35179	46685	33646	46652	48297	67596
TAF6	1511	2265	1804	2552	2667	3361
SNF4	1533	2610	1944	1940	2164	2391
CDC20	1501	1746	1534	1802	1957	2922
COQ8	1538	2112	1915	2181	2336	2733
PRP43	4499	5711	4118	7450	8402	10114
RPS2	21054	22807	19283	32042	33829	49490
MON1	608	923	889	714	834	1002
MET13	1091	1410	1148	332	387	676
SCS3	673	752	744	808	865	1683
SOH1	579	764	728	659	691	1063
RPL1B	711	697	656	1181	1304	3419
FLC3	1705	2389	1803	1809	1903	2822
TIP20	862	1097	942	1150	1172	1726
RPL9A	6668	9183	7645	14226	16941	21085
NUT1	2481	2992	2704	3590	3552	4578
CDC43	1130	1663	1106	1688	1669	2116
RAD54	1067	1555	1238	1653	1676	2153
CUP2	551	776	700	704	806	926
PMR1	3768	5180	4218	3919	4192	5703
NUP49	1484	1920	1532	2485	2617	3435
XRN1	17853	23649	19068	16906	17997	23607
BUD13	550	659	676	601	652	768
SAE2	343	437	434	352	330	430
MPT5	713	686	584	569	639	858
ATG1	1899	2085	1929	1395	1499	2039
GTS1	2351	3196	2953	2496	2834	3744
RPS26A	21755	29556	28937	37668	41544	46166
IME4	26	40	47	35	49	55
HOS2	844	1172	1008	1136	1224	1575
GCN1	13323	18479	12219	25053	28813	33464
EMP24	2577	3340	2542	3109	3163	5291
POX1	96	102	127	105	100	166
CHC1	23250	27555	22108	15678	18003	20660
SPT16	7200	10191	7381	9594	10653	13945
SIP2	515	671	682	360	403	679
MIG2	945	1040	1098	837	917	1427
NCS6	432	711	556	1016	1029	1462
VAM7	220	538	337	335	355	481
SKI8	2007	3557	2561	2316	2722	2934
YGL218W	7	6	5	5	7	29
MDM34	1011	1066	1253	704	785	1574
FRA2	2299	3198	2744	2574	2827	2536
COG1	818	985	966	770	970	1052
SDT1	1198	1348	1187	707	842	997
VRG4	2235	3593	2549	3782	4295	2998
VID30	3272	3988	3994	2878	2704	2848
MTO1	808	1002	864	433	530	845
CSE1	5321	6143	5230	8978	9585	11637
DOC1	228	377	259	421	397	498
RTF1	1723	3432	2217	3308	3506	3601
GUS1	16300	21786	15915	15376	17843	18990
HFM1	506	723	690	972	806	1176
HXK2	26338	27786	25958	10218	13041	14338
FZF1	266	285	314	328	300	541
ADH4	568	813	669	821	867	1302
SWC4	1104	1412	1205	1272	1411	1735
CUL3	899	1058	951	1033	1257	1288
ECT1	1664	2969	2355	2493	2581	2991
SEC9	1898	3167	2786	2489	2618	3426
RPS25A	28523	29791	26787	40496	44526	78276
MSP1	593	838	811	576	625	918
GSC2	2118	2447	2564	1784	2015	2395
TIM21	1215	1829	1515	1771	1718	2649
RPL26B	9637	11862	12084	15182	19902	23302
CAX4	295	321	283	445	421	450
RME1	987	1427	1437	658	689	1209
TAM41	629	953	751	723	726	972
TFC4	2194	3332	2589	2433	2496	3405
COX18	270	354	276	293	295	510
ROM1	924	1180	1148	1173	1083	1660
UPF3	480	912	647	1292	1062	1441
SMD1	695	976	712	1199	1234	1147
MRPL25	594	654	763	371	446	566
PEX8	390	508	491	611	642	871
PAC10	1232	1735	1450	2154	2237	3412
TWF1	1317	1541	1554	997	1258	1371
TOM20	2184	2052	2094	1853	2140	3070
GCD2	2792	4106	2998	4780	4907	6722
RPL11B	4676	5396	5408	8811	11102	8455
CTT1	540	610	667	370	292	697
ASK10	1447	1477	1399	1569	1692	2481
MDR1	2398	3722	3053	2375	2502	3596
PCP1	618	954	879	845	909	1062
NOP7	9351	12951	9624	13973	14163	19821
SRB5	595	813	721	808	830	1022
CLB1	1232	2526	1884	1601	1393	2576
SPT6	9566	13788	10714	11418	11011	14759
RPS23A	17836	26892	19880	33208	37172	30007
COG2	384	435	436	480	497	631
MEP1	334	390	397	180	175	254
SYF2	214	413	363	438	467	601
PEX4	355	541	567	292	332	387
CBF2	1108	1433	1219	1154	1302	1709
THI4	29	52	55	69	48	111
RPL24B	21389	34573	22774	28628	34378	34028
CCM1	1889	2661	2342	2210	2158	2434
RSR1	620	1206	806	909	955	1021
YGR153W	78	133	106	63	64	85
CYS4	5038	5410	5054	7550	9480	11491
CHO2	7396	13147	10157	10651	12118	11693
NSR1	11059	13793	8583	21602	22936	28760
TIF4631	15502	20014	14614	22624	25075	37111
TRS65	674	928	714	1314	1263	1682
CLC1	5319	8137	8177	6312	6494	8446
YGR169C-A	310	904	623	1785	1628	1141
MSM1	580	685	639	485	549	736
RBG2	1371	1959	1485	1814	2062	2794
PBP1	4692	6205	5254	6779	7084	11212
RNR4	7084	8943	7439	7633	8884	13332
QCR9	709	1246	1030	1138	1024	1300
UBR1	6180	8004	6324	5484	5646	7515
TYS1	8438	9628	8754	11186	12486	15962
TFG1	4518	6536	5585	7632	7537	11174
TDH3	46771	52430	59562	42236	51531	100431
SKI6	612	1063	824	993	1193	1807
ELP2	2563	4045	2837	6585	7105	9266
PCT1	2125	2189	2200	1489	1656	2509
TRX2	2444	1848	2197	1229	1830	2728
RPS0A	27102	31526	22566	45018	46315	95868
CRM1	10647	13150	10700	11919	13962	14162
MRPL9	1184	1407	1312	1271	1443	1877
AMA1	60	87	83	50	49	94
DIE2	697	663	636	522	621	646
SMI1	3838	5370	4289	3838	3719	5941
PHO81	1721	2748	1893	1340	1461	2322
YHB1	7813	9586	7350	12936	15690	15614
MOS2	1560	2213	2073	1743	1857	2415
BRF1	1180	1705	1424	1481	1414	1827
NOP19	618	878	762	1155	1208	1655
GCN5	901	1419	1207	1290	1212	2037
PUP2	4505	5430	5410	5718	5894	8252
ENO1	21338	32085	24948	5287	6973	10870
APL6	3319	3714	3313	3250	3489	4992
