	CD4_1	CD4_2	CD4_3	CD4_4	CD8_1	CD8_2	CD8_3
ENSMUSG00000002658	1596	1825	909	1065	1099	1253	1391
ENSMUSG00000002660	838	1230	580	785	867	713	853
ENSMUSG00000002661	101	204	74	133	187	102	189
ENSMUSG00000002664	2	0	0	0	0	1	0
ENSMUSG00000002668	2401	2772	1417	1546	2133	2293	2538
ENSMUSG00000002679	254	234	335	299	244	132	217
ENSMUSG00000002688	0	0	0	0	0	0	0
ENSMUSG00000002699	4695	5167	3984	3867	5757	5796	6668
ENSMUSG00000002718	1336	1744	880	1072	1154	1127	1558
ENSMUSG00000002728	830	1199	602	687	758	680	851
ENSMUSG00000002731	60	66	27	23	68	45	94
ENSMUSG00000002732	15	11	16	8	21	6	14
ENSMUSG00000002733	108	79	71	142	268	323	171
ENSMUSG00000002741	938	1162	718	824	1007	937	988
ENSMUSG00000002748	1288	1742	952	1224	1920	1279	1741
ENSMUSG00000002763	545	585	391	781	1215	1378	1374
ENSMUSG00000002767	968	1015	694	874	727	627	802
ENSMUSG00000002768	1213	1411	1183	1043	1171	1086	1343
ENSMUSG00000002769	2	0	0	0	6	0	6
ENSMUSG00000002771	1	0	0	2	6	5	8
ENSMUSG00000002778	417	575	412	477	565	441	564
ENSMUSG00000002781	71	73	57	51	88	71	83
ENSMUSG00000002791	3	0	0	0	0	0	1
ENSMUSG00000002797	243	297	144	161	153	122	222
ENSMUSG00000002799	32	26	17	5	60	100	81
ENSMUSG00000002803	697	947	774	636	828	988	1128
ENSMUSG00000002804	344	558	227	224	321	298	320
ENSMUSG00000002808	0	0	1	0	15	1	0
ENSMUSG00000002812	3403	4730	2449	2818	3314	3526	3966
ENSMUSG00000002814	346	779	285	498	501	375	554
ENSMUSG00000002820	955	1012	477	537	952	1033	1154
ENSMUSG00000002825	530	649	351	249	325	384	405
ENSMUSG00000002831	0	0	0	0	0	0	0
ENSMUSG00000002833	2082	2648	1231	1186	1973	2079	2559
ENSMUSG00000002835	267	603	118	120	204	207	184
ENSMUSG00000002844	1660	1734	1322	1334	1583	1344	1869
ENSMUSG00000002845	288	383	178	277	335	239	377
ENSMUSG00000002846	50	54	38	26	64	47	60
ENSMUSG00000002847	0	0	0	0	0	0	0
ENSMUSG00000002870	2348	4015	1989	1875	1960	2087	2725
ENSMUSG00000002871	983	1106	579	652	1042	923	1198
ENSMUSG00000002881	739	650	915	943	1124	1455	1011
ENSMUSG00000002885	10005	10051	6299	7124	8784	10364	10721
ENSMUSG00000002897	7551	8656	4931	5453	6052	7501	8082
ENSMUSG00000002900	0	0	0	0	0	2	0
ENSMUSG00000002908	0	0	0	0	0	0	0
ENSMUSG00000002910	238	292	195	202	361	333	544
ENSMUSG00000002930	0	0	0	0	0	0	0
